timestamp,rel_time_s,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,q_13,q_14,q_15,q_16,dq_1,dq_2,dq_3,dq_4,dq_5,dq_6,dq_7,dq_8,dq_9,dq_10,dq_11,dq_12,dq_13,dq_14,dq_15,dq_16,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7,tau_8,tau_9,tau_10,tau_11,tau_12,tau_13,tau_14,tau_15,tau_16,t_mos_1,t_mos_2,t_mos_3,t_mos_4,t_mos_5,t_mos_6,t_mos_7,t_mos_8,t_mos_9,t_mos_10,t_mos_11,t_mos_12,t_mos_13,t_mos_14,t_mos_15,t_mos_16
1790301712.797216,0.012,-0.17758,0.07725,-0.02003,-0.44957,-1.84424,0.30995,-0.48581,0.00002,3.10273,3.02796,1.81525,0.20924,1.23045,-0.28401,0.04482,0.00001,-0.0110,-0.0110,-0.0024,-0.0024,-0.0220,-0.0073,-0.0073,-0.0073,-0.0110,-0.0110,-0.0024,-0.0073,-0.0220,-0.0073,-0.0073,-0.2857,-0.040,-0.013,0.007,-0.021,-0.007,-0.002,-0.002,-0.002,0.013,-0.013,0.021,0.007,-0.007,0.002,0.002,0.037,29.0,30.0,31.0,30.0,31.0,31.0,29.0,28.0,29.0,30.0,32.0,29.0,31.0,31.0,29.0,32.0
1790301712.806322,0.021,-0.17720,0.07725,-0.02003,-0.44957,-1.84424,0.30995,-0.48581,0.00002,3.10273,3.02796,1.81525,0.20924,1.23045,-0.28401,0.04482,0.00001,-0.0110,-0.0110,-0.0024,-0.0024,-0.0220,-0.0073,-0.0073,-0.0220,-0.0110,-0.0110,-0.0024,-0.0073,-0.0220,-0.0073,-0.0073,-0.2857,-0.040,-0.013,0.007,-0.021,-0.007,-0.002,-0.002,-0.007,0.013,-0.013,0.021,0.007,-0.007,0.002,0.002,0.037,29.0,30.0,31.0,30.0,31.0,31.0,29.0,28.0,29.0,30.0,32.0,29.0,31.0,31.0,29.0,32.0
1790301712.816467,0.031,-0.17720,0.07725,-0.02003,-0.44957,-1.84386,0.30995,-0.48581,0.00002,3.10273,3.02796,1.81525,0.20924,1.23045,-0.28401,0.04482,0.00001,0.0110,-0.0110,-0.0024,-0.0024,0.0220,-0.0220,-0.0073,-0.0220,-0.0110,-0.0110,-0.0024,-0.0073,-0.0220,-0.0073,-0.0073,-0.2857,-0.040,-0.013,0.021,-0.021,-0.002,-0.002,-0.002,-0.007,0.013,-0.013,0.021,0.007,-0.007,0.002,0.002,0.037,29.0,30.0,31.0,30.0,31.0,31.0,29.0,28.0,29.0,30.0,32.0,29.0,31.0,31.0,29.0,32.0
1790301712.826703,0.041,-0.17720,0.07725,-0.02003,-0.44957,-1.84386,0.30995,-0.48581,0.00002,3.10273,3.02796,1.81525,0.20924,1.23045,-0.28401,0.04482,0.00001,0.0110,-0.0110,-0.0024,-0.0024,0.0220,-0.0220,-0.0073,-0.0073,-0.0110,-0.0110,0.0024,-0.0024,-0.0073,-0.0073,-0.0220,0.0073,-0.040,-0.013,0.021,-0.021,-0.002,-0.002,-0.002,-0.007,0.013,-0.013,0.021,0.007,-0.007,0.002,0.002,0.042,29.0,30.0,31.0,30.0,31.0,31.0,29.0,28.0,29.0,30.0,31.0,29.0,31.0,31.0,29.0,32.0
1790301712.837844,0.052,-0.17720,0.07725,-0.02003,-0.44957,-1.84386,0.30995,-0.48581,0.00002,3.10273,3.02796,1.81525,0.20924,1.23045,-0.28401,0.04482,0.00001,0.0110,-0.0110,-0.0024,-0.0024,0.0220,-0.0220,-0.0073,-0.0073,-0.0110,-0.0110,0.0024,-0.0024,-0.0073,-0.0073,-0.0220,0.0073,-0.040,-0.013,0.021,-0.021,-0.002,-0.002,-0.002,-0.007,0.013,-0.013,0.021,0.007,-0.007,0.002,0.002,0.042,29.0,30.0,31.0,30.0,31.0,31.0,29.0,28.0,29.0,30.0,31.0,29.0,31.0,31.0,29.0,32.0
1790301712.845548,0.060,-0.17720,0.07725,-0.02003,-0.44957,-1.84386,0.30995,-0.48581,0.00002,3.10273,3.02796,1.81525,0.20924,1.23045,-0.28401,0.04482,0.00002,0.0110,-0.0110,-0.0024,-0.0024,0.0220,-0.0220,-0.0073,-0.0073,-0.0110,-0.0110,0.0024,-0.0024,-0.0073,-0.0073,-0.0220,0.0073,-0.040,-0.013,0.021,-0.021,-0.002,-0.002,-0.002,-0.002,0.013,-0.013,0.021,0.007,-0.007,0.002,0.002,0.139,29.0,30.0,31.0,30.0,31.0,31.0,29.0,28.0,29.0,30.0,31.0,29.0,31.0,31.0,29.0,32.0
1790301712.858496,0.073,-0.17720,0.07725,-0.02003,-0.44957,-1.84386,0.30995,-0.48581,0.00002,3.10273,3.02796,1.81525,0.20924,1.23045,-0.28401,0.04482,0.00002,0.0110,-0.0110,-0.0024,-0.0024,0.0220,-0.0220,-0.0073,-0.0073,-0.0110,-0.0110,0.0024,-0.0024,-0.0073,-0.0073,-0.0220,0.0073,-0.040,-0.013,0.021,-0.021,-0.002,-0.002,-0.002,-0.007,0.013,-0.013,0.021,0.007,-0.007,0.002,0.002,0.139,29.0,30.0,31.0,30.0,31.0,31.0,29.0,28.0,29.0,30.0,31.0,29.0,31.0,31.0,29.0,32.0
1790301712.866095,0.081,-0.17720,0.07725,-0.02003,-0.44957,-1.84386,0.30995,-0.48581,0.00002,3.10273,3.02796,1.81525,0.20924,1.23045,-0.28401,0.04482,0.00002,0.0110,-0.0110,-0.0024,-0.0024,0.0220,-0.0220,-0.0073,-0.0073,-0.0110,-0.0110,0.0024,-0.0024,-0.0073,-0.0073,-0.0220,0.0073,-0.040,-0.013,0.021,-0.021,-0.002,-0.002,-0.002,-0.007,0.013,-0.013,0.021,0.007,-0.007,0.002,0.002,0.139,29.0,30.0,31.0,30.0,31.0,31.0,29.0,28.0,29.0,30.0,31.0,29.0,31.0,31.0,29.0,32.0
1790301712.875606,0.090,-0.17720,0.07725,-0.02003,-0.44957,-1.84386,0.30995,-0.48581,0.00002,3.10273,3.02796,1.81525,0.20924,1.23045,-0.28401,0.04482,0.00002,0.0110,-0.0110,-0.0024,-0.0024,0.0220,-0.0220,-0.0073,-0.0073,-0.0110,-0.0110,0.0024,-0.0024,-0.0073,-0.0073,-0.0220,0.0073,-0.040,-0.013,0.021,-0.021,-0.002,-0.002,-0.002,-0.007,0.013,-0.013,0.021,0.007,-0.007,0.002,0.002,0.139,29.0,30.0,31.0,30.0,31.0,31.0,29.0,28.0,29.0,30.0,31.0,29.0,31.0,31.0,29.0,32.0
1790301712.885798,0.100,-0.17720,0.07725,-0.02003,-0.44957,-1.84424,0.30995,-0.48581,0.00002,3.10273,3.02796,1.81525,0.20924,1.23045,-0.28401,0.04482,0.00002,-0.0110,-0.0110,-0.0073,-0.0024,-0.0073,0.0073,0.0073,-0.0073,-0.0110,-0.0110,0.0024,-0.0024,-0.0073,-0.0073,-0.0220,0.0073,-0.013,-0.013,0.007,-0.021,-0.002,-0.002,-0.002,-0.007,0.013,-0.013,0.021,0.007,-0.007,0.002,0.002,0.139,29.0,30.0,31.0,30.0,31.0,31.0,29.0,28.0,29.0,30.0,31.0,29.0,31.0,31.0,29.0,32.0
